transaction_id,transaction_type,sales_order_id,purchase_order_id,created_at,last_updated
72,PURCHASE,,41,2022-11-22 17:02:10.130000,2022-11-22 17:02:10.130000
73,PURCHASE,,42,2022-11-22 18:41:10.413000,2022-11-22 18:41:10.413000
74,PURCHASE,,43,2022-11-23 10:55:10.588000,2022-11-23 10:55:10.588000
75,SALE,32,,2022-11-23 16:24:10.261000,2022-11-23 16:24:10.261000
76,SALE,33,,2022-11-24 08:19:10.014000,2022-11-24 08:19:10.014000
77,SALE,34,,2022-11-24 08:22:10.200000,2022-11-24 08:22:10.200000
78,PURCHASE,,44,2022-11-24 10:05:09.988000,2022-11-24 10:05:09.988000
79,PURCHASE,,45,2022-11-24 10:07:10.009000,2022-11-24 10:07:10.009000
80,PURCHASE,,46,2022-11-24 12:59:10.194000,2022-11-24 12:59:10.194000
81,PURCHASE,,47,2022-11-24 14:24:10.180000,2022-11-24 14:24:10.180000
82,PURCHASE,,48,2022-11-24 16:46:10.333000,2022-11-24 16:46:10.333000
83,PURCHASE,,49,2022-11-25 10:03:10.592000,2022-11-25 10:03:10.592000
84,PURCHASE,,50,2022-11-25 12:27:10.103000,2022-11-25 12:27:10.103000
85,SALE,35,,2022-11-25 13:10:10.345000,2022-11-25 13:10:10.345000
86,PURCHASE,,51,2022-11-25 15:26:10.298000,2022-11-25 15:26:10.298000
87,PURCHASE,,52,2022-11-25 15:52:11.948000,2022-11-25 15:52:11.948000
88,PURCHASE,,53,2022-11-28 10:07:10.403000,2022-11-28 10:07:10.403000
89,SALE,36,,2022-11-28 10:34:10.317000,2022-11-28 10:34:10.317000
90,PURCHASE,,54,2022-11-28 13:38:10.234000,2022-11-28 13:38:10.234000
91,PURCHASE,,55,2022-11-28 17:20:10.500000,2022-11-28 17:20:10.500000
92,PURCHASE,,56,2022-11-29 10:24:10.405000,2022-11-29 10:24:10.405000
93,SALE,37,,2022-11-29 12:16:10.126000,2022-11-29 12:16:10.126000
94,PURCHASE,,57,2022-11-29 13:39:10.260000,2022-11-29 13:39:10.260000
95,SALE,38,,2022-11-29 14:34:10.160000,2022-11-29 14:34:10.160000
96,PURCHASE,,58,2022-11-29 15:28:10.130000,2022-11-29 15:28:10.130000
97,PURCHASE,,59,2022-11-29 15:57:09.758000,2022-11-29 15:57:09.758000
98,PURCHASE,,60,2022-11-29 16:44:10.130000,2022-11-29 16:44:10.130000
99,PURCHASE,,61,2022-11-29 16:58:10.193000,2022-11-29 16:58:10.193000
100,SALE,39,,2022-11-29 18:34:09.917000,2022-11-29 18:34:09.917000
101,PURCHASE,,62,2022-11-30 08:02:10.683000,2022-11-30 08:02:10.683000
102,SALE,40,,2022-11-30 10:11:10.435000,2022-11-30 10:11:10.435000
103,SALE,41,,2022-11-30 10:41:09.931000,2022-11-30 10:41:09.931000
104,PURCHASE,,63,2022-11-30 11:10:10.276000,2022-11-30 11:10:10.276000
105,SALE,42,,2022-11-30 12:44:09.907000,2022-11-30 12:44:09.907000
106,PURCHASE,,64,2022-11-30 13:50:10.565000,2022-11-30 13:50:10.565000
107,SALE,43,,2022-11-30 15:28:10.633000,2022-11-30 15:28:10.633000
108,PURCHASE,,65,2022-11-30 15:56:10.320000,2022-11-30 15:56:10.320000
109,SALE,44,,2022-11-30 16:03:10.369000,2022-11-30 16:03:10.369000
110,PURCHASE,,66,2022-11-30 16:19:10.238000,2022-11-30 16:19:10.238000
111,PURCHASE,,67,2022-11-30 16:31:10.081000,2022-11-30 16:31:10.081000
112,SALE,45,,2022-11-30 17:56:10.354000,2022-11-30 17:56:10.354000
113,SALE,46,,2022-12-01 08:47:10.394000,2022-12-01 08:47:10.394000
114,PURCHASE,,68,2022-12-01 08:51:10.319000,2022-12-01 08:51:10.319000
115,SALE,47,,2022-12-01 10:28:10.371000,2022-12-01 10:28:10.371000
116,SALE,48,,2022-12-01 13:38:10.594000,2022-12-01 13:38:10.594000
117,SALE,49,,2022-12-01 16:06:10.197000,2022-12-01 16:06:10.197000
118,SALE,50,,2022-12-01 16:23:10.180000,2022-12-01 16:23:10.180000
119,SALE,51,,2022-12-01 17:43:10.073000,2022-12-01 17:43:10.073000
120,PURCHASE,,69,2022-12-02 08:02:10.602000,2022-12-02 08:02:10.602000
121,SALE,52,,2022-12-02 09:21:10.173000,2022-12-02 09:21:10.173000
122,PURCHASE,,70,2022-12-02 11:25:09.933000,2022-12-02 11:25:09.933000
123,SALE,53,,2022-12-02 11:42:10.242000,2022-12-02 11:42:10.242000
124,SALE,54,,2022-12-02 12:21:09.764000,2022-12-02 12:21:09.764000
125,SALE,55,,2022-12-02 14:05:10.169000,2022-12-02 14:05:10.169000
126,PURCHASE,,71,2022-12-02 14:08:10.419000,2022-12-02 14:08:10.419000
127,PURCHASE,,72,2022-12-02 14:33:10.499000,2022-12-02 14:33:10.499000
128,PURCHASE,,73,2022-12-02 14:57:10.268000,2022-12-02 14:57:10.268000
129,PURCHASE,,74,2022-12-02 18:18:10.013000,2022-12-02 18:18:10.013000
130,PURCHASE,,75,2022-12-05 11:15:10.567000,2022-12-05 11:15:10.567000
131,PURCHASE,,76,2022-12-05 13:52:10.727000,2022-12-05 13:52:10.727000
132,SALE,56,,2022-12-05 14:57:09.727000,2022-12-05 14:57:09.727000
133,SALE,57,,2022-12-05 18:14:10.350000,2022-12-05 18:14:10.350000
134,SALE,58,,2022-12-05 18:21:10.132000,2022-12-05 18:21:10.132000
135,SALE,59,,2022-12-06 10:27:10.432000,2022-12-06 10:27:10.432000
136,SALE,60,,2022-12-06 14:43:10.177000,2022-12-06 14:43:10.177000
137,SALE,61,,2022-12-07 09:49:10.510000,2022-12-07 09:49:10.510000
138,PURCHASE,,77,2022-12-07 10:16:10.443000,2022-12-07 10:16:10.443000
139,PURCHASE,,78,2022-12-07 18:50:10.398000,2022-12-07 18:50:10.398000
140,PURCHASE,,79,2022-12-08 08:26:10.158000,2022-12-08 08:26:10.158000
141,PURCHASE,,80,2022-12-08 13:22:10.352000,2022-12-08 13:22:10.352000
142,PURCHASE,,81,2022-12-08 13:55:09.735000,2022-12-08 13:55:09.735000
143,PURCHASE,,82,2022-12-08 15:09:10.310000,2022-12-08 15:09:10.310000
144,SALE,62,,2022-12-08 16:43:09.858000,2022-12-08 16:43:09.858000
145,PURCHASE,,83,2022-12-08 18:26:09.915000,2022-12-08 18:26:09.915000
146,PURCHASE,,84,2022-12-08 18:36:10.150000,2022-12-08 18:36:10.150000
147,PURCHASE,,85,2022-12-09 08:02:10.559000,2022-12-09 08:02:10.559000
148,SALE,63,,2022-12-09 08:02:10.562000,2022-12-09 08:02:10.562000
149,PURCHASE,,86,2022-12-09 08:34:10.212000,2022-12-09 08:34:10.212000
150,SALE,64,,2022-12-09 11:53:10.299000,2022-12-09 11:53:10.299000
151,PURCHASE,,87,2022-12-09 12:50:09.993000,2022-12-09 12:50:09.993000
152,PURCHASE,,88,2022-12-09 18:05:10.448000,2022-12-09 18:05:10.448000
153,SALE,65,,2022-12-09 18:44:10.313000,2022-12-09 18:44:10.313000
154,SALE,66,,2022-12-12 09:09:10.195000,2022-12-12 09:09:10.195000
156,SALE,67,,2022-12-12 09:24:12.874000,2022-12-12 09:24:12.874000
155,PURCHASE,,89,2022-12-12 09:24:12.873000,2022-12-12 09:24:12.873000
157,PURCHASE,,90,2022-12-12 10:09:10.209000,2022-12-12 10:09:10.209000
158,SALE,68,,2022-12-12 10:12:10.163000,2022-12-12 10:12:10.163000
159,PURCHASE,,91,2022-12-12 10:19:10.089000,2022-12-12 10:19:10.089000
160,SALE,69,,2022-12-12 11:13:10.089000,2022-12-12 11:13:10.089000
161,SALE,70,,2022-12-12 11:32:09.981000,2022-12-12 11:32:09.981000
162,PURCHASE,,92,2022-12-12 12:17:10.239000,2022-12-12 12:17:10.239000
163,SALE,71,,2022-12-12 12:55:10.296000,2022-12-12 12:55:10.296000
164,PURCHASE,,93,2022-12-12 13:28:10.424000,2022-12-12 13:28:10.424000
165,PURCHASE,,94,2022-12-12 15:06:10.283000,2022-12-12 15:06:10.283000
166,SALE,72,,2022-12-12 17:50:10.202000,2022-12-12 17:50:10.202000
167,SALE,73,,2022-12-12 18:23:09.777000,2022-12-12 18:23:09.777000
168,SALE,74,,2022-12-13 09:51:10.395000,2022-12-13 09:51:10.395000
169,PURCHASE,,95,2022-12-13 10:17:10.686000,2022-12-13 10:17:10.686000
170,PURCHASE,,96,2022-12-13 10:18:10.659000,2022-12-13 10:18:10.659000
171,SALE,75,,2022-12-13 11:06:09.753000,2022-12-13 11:06:09.753000
172,PURCHASE,,97,2022-12-13 11:54:10.025000,2022-12-13 11:54:10.025000
173,PURCHASE,,98,2022-12-13 12:09:10.185000,2022-12-13 12:09:10.185000
174,PURCHASE,,99,2022-12-13 12:18:10.077000,2022-12-13 12:18:10.077000
175,SALE,76,,2022-12-13 12:47:10.479000,2022-12-13 12:47:10.479000
176,SALE,77,,2022-12-13 13:05:09.885000,2022-12-13 13:05:09.885000
177,PURCHASE,,100,2022-12-13 13:19:10.182000,2022-12-13 13:19:10.182000
178,PURCHASE,,101,2022-12-13 15:07:10.092000,2022-12-13 15:07:10.092000
179,SALE,78,,2022-12-13 15:17:10.259000,2022-12-13 15:17:10.259000
180,SALE,79,,2022-12-13 15:22:10.191000,2022-12-13 15:22:10.191000
181,PURCHASE,,102,2022-12-13 15:40:10.165000,2022-12-13 15:40:10.165000
182,SALE,80,,2022-12-13 15:47:10.282000,2022-12-13 15:47:10.282000
183,SALE,81,,2022-12-13 15:50:10.217000,2022-12-13 15:50:10.217000
184,SALE,82,,2022-12-13 15:52:09.823000,2022-12-13 15:52:09.823000
185,SALE,83,,2022-12-13 17:13:10.452000,2022-12-13 17:13:10.452000
186,PURCHASE,,103,2022-12-13 17:29:10.259000,2022-12-13 17:29:10.259000
187,PURCHASE,,104,2022-12-13 18:27:10.132000,2022-12-13 18:27:10.132000
188,SALE,84,,2022-12-13 18:29:10.133000,2022-12-13 18:29:10.133000
189,SALE,85,,2022-12-13 18:34:09.873000,2022-12-13 18:34:09.873000
190,PURCHASE,,105,2022-12-13 18:50:10.373000,2022-12-13 18:50:10.373000
191,PURCHASE,,106,2022-12-13 18:52:09.954000,2022-12-13 18:52:09.954000
192,PURCHASE,,107,2022-12-14 08:13:10.032000,2022-12-14 08:13:10.032000
193,PURCHASE,,108,2022-12-14 08:28:10.679000,2022-12-14 08:28:10.679000
194,SALE,86,,2022-12-14 09:11:10.295000,2022-12-14 09:11:10.295000
195,PURCHASE,,109,2022-12-14 09:46:10.237000,2022-12-14 09:46:10.237000
196,SALE,87,,2022-12-14 09:55:10.639000,2022-12-14 09:55:10.639000
197,SALE,88,,2022-12-14 10:02:10.137000,2022-12-14 10:02:10.137000
198,SALE,89,,2022-12-14 10:12:10.357000,2022-12-14 10:12:10.357000
199,SALE,90,,2022-12-14 10:21:10.105000,2022-12-14 10:21:10.105000
200,SALE,91,,2022-12-14 10:24:09.763000,2022-12-14 10:24:09.763000
201,PURCHASE,,110,2022-12-14 11:21:10.318000,2022-12-14 11:21:10.318000
202,PURCHASE,,111,2022-12-14 11:27:09.890000,2022-12-14 11:27:09.890000
203,PURCHASE,,112,2022-12-14 13:16:10.432000,2022-12-14 13:16:10.432000
204,SALE,92,,2022-12-14 15:00:10.409000,2022-12-14 15:00:10.409000
205,PURCHASE,,113,2022-12-14 15:21:10.330000,2022-12-14 15:21:10.330000
206,PURCHASE,,114,2022-12-14 15:46:09.955000,2022-12-14 15:46:09.955000
207,PURCHASE,,115,2022-12-14 16:33:10.154000,2022-12-14 16:33:10.154000
208,SALE,93,,2022-12-14 17:22:10.534000,2022-12-14 17:22:10.534000
209,SALE,94,,2022-12-14 17:28:10.177000,2022-12-14 17:28:10.177000
210,SALE,95,,2022-12-14 17:47:10.159000,2022-12-14 17:47:10.159000
211,PURCHASE,,116,2022-12-15 08:25:10.328000,2022-12-15 08:25:10.328000
212,PURCHASE,,117,2022-12-15 08:34:10.173000,2022-12-15 08:34:10.173000
213,SALE,96,,2022-12-15 08:41:10.174000,2022-12-15 08:41:10.174000
214,SALE,97,,2022-12-15 10:54:10.487000,2022-12-15 10:54:10.487000
215,SALE,98,,2022-12-15 10:57:09.998000,2022-12-15 10:57:09.998000
216,PURCHASE,,118,2022-12-15 11:25:10,2022-12-15 11:25:10
217,PURCHASE,,119,2022-12-15 11:36:10.169000,2022-12-15 11:36:10.169000
218,SALE,99,,2022-12-15 11:51:09.876000,2022-12-15 11:51:09.876000
219,SALE,100,,2022-12-15 11:55:10.280000,2022-12-15 11:55:10.280000
220,PURCHASE,,120,2022-12-15 12:00:10.265000,2022-12-15 12:00:10.265000
221,SALE,101,,2022-12-15 12:04:10.055000,2022-12-15 12:04:10.055000
222,PURCHASE,,121,2022-12-15 12:19:10.475000,2022-12-15 12:19:10.475000
223,SALE,102,,2022-12-15 12:35:10.412000,2022-12-15 12:35:10.412000
224,PURCHASE,,122,2022-12-15 13:03:09.892000,2022-12-15 13:03:09.892000
225,SALE,103,,2022-12-15 13:08:10.552000,2022-12-15 13:08:10.552000
226,SALE,104,,2022-12-15 13:23:10.138000,2022-12-15 13:23:10.138000
227,SALE,105,,2022-12-15 15:16:10.785000,2022-12-15 15:16:10.785000
228,PURCHASE,,123,2022-12-15 15:50:10.110000,2022-12-15 15:50:10.110000
229,SALE,106,,2022-12-15 16:01:09.961000,2022-12-15 16:01:09.961000
230,SALE,107,,2022-12-15 16:20:10.267000,2022-12-15 16:20:10.267000
231,SALE,108,,2022-12-15 17:09:09.913000,2022-12-15 17:09:09.913000
232,SALE,109,,2022-12-15 17:28:09.828000,2022-12-15 17:28:09.828000
233,SALE,110,,2022-12-15 18:27:10.202000,2022-12-15 18:27:10.202000
234,SALE,111,,2022-12-15 18:50:10.148000,2022-12-15 18:50:10.148000
235,SALE,112,,2022-12-16 08:03:10.257000,2022-12-16 08:03:10.257000
236,PURCHASE,,124,2022-12-16 08:07:10.327000,2022-12-16 08:07:10.327000
237,SALE,113,,2022-12-16 09:48:09.915000,2022-12-16 09:48:09.915000
238,PURCHASE,,125,2022-12-16 09:55:10.232000,2022-12-16 09:55:10.232000
239,SALE,114,,2022-12-16 11:38:10.374000,2022-12-16 11:38:10.374000
240,SALE,115,,2022-12-16 11:49:09.855000,2022-12-16 11:49:09.855000
241,PURCHASE,,126,2022-12-16 12:24:10.368000,2022-12-16 12:24:10.368000
242,SALE,116,,2022-12-16 14:02:09.889000,2022-12-16 14:02:09.889000
243,SALE,117,,2022-12-16 14:10:10.425000,2022-12-16 14:10:10.425000
244,SALE,118,,2022-12-16 14:30:09.840000,2022-12-16 14:30:09.840000
245,PURCHASE,,127,2022-12-16 15:10:10.347000,2022-12-16 15:10:10.347000
246,PURCHASE,,128,2022-12-16 15:21:09.951000,2022-12-16 15:21:09.951000
247,SALE,119,,2022-12-16 16:12:10.264000,2022-12-16 16:12:10.264000
248,SALE,120,,2022-12-16 17:11:10.623000,2022-12-16 17:11:10.623000
249,PURCHASE,,129,2022-12-16 17:53:10.169000,2022-12-16 17:53:10.169000
250,SALE,121,,2022-12-16 18:51:10.388000,2022-12-16 18:51:10.388000
251,SALE,122,,2022-12-19 08:19:09.974000,2022-12-19 08:19:09.974000
252,SALE,123,,2022-12-19 08:22:10.272000,2022-12-19 08:22:10.272000
253,SALE,124,,2022-12-19 09:19:10.260000,2022-12-19 09:19:10.260000
254,SALE,125,,2022-12-19 09:22:09.932000,2022-12-19 09:22:09.932000
255,SALE,126,,2022-12-19 09:26:09.992000,2022-12-19 09:26:09.992000
256,PURCHASE,,130,2022-12-19 10:12:10.307000,2022-12-19 10:12:10.307000
257,PURCHASE,,131,2022-12-19 12:42:10.352000,2022-12-19 12:42:10.352000
258,PURCHASE,,132,2022-12-19 12:51:10.277000,2022-12-19 12:51:10.277000
259,PURCHASE,,133,2022-12-19 14:25:10.022000,2022-12-19 14:25:10.022000
260,SALE,127,,2022-12-19 14:35:09.905000,2022-12-19 14:35:09.905000
261,PURCHASE,,134,2022-12-19 14:37:09.708000,2022-12-19 14:37:09.708000
262,PURCHASE,,135,2022-12-19 14:53:10.202000,2022-12-19 14:53:10.202000
263,SALE,128,,2022-12-19 14:53:10.201000,2022-12-19 14:53:10.201000
264,SALE,129,,2022-12-19 15:07:09.986000,2022-12-19 15:07:09.986000
265,SALE,130,,2022-12-19 16:07:10.439000,2022-12-19 16:07:10.439000
266,SALE,131,,2022-12-19 16:17:10.281000,2022-12-19 16:17:10.281000
267,SALE,132,,2022-12-19 17:29:10.168000,2022-12-19 17:29:10.168000
268,SALE,133,,2022-12-19 17:30:09.990000,2022-12-19 17:30:09.990000
269,SALE,134,,2022-12-19 18:21:09.890000,2022-12-19 18:21:09.890000
270,PURCHASE,,136,2022-12-19 18:28:10.184000,2022-12-19 18:28:10.184000
271,PURCHASE,,137,2022-12-19 18:55:10.428000,2022-12-19 18:55:10.428000
272,PURCHASE,,138,2022-12-20 08:26:10.196000,2022-12-20 08:26:10.196000
273,PURCHASE,,139,2022-12-20 09:23:10.417000,2022-12-20 09:23:10.417000
274,SALE,135,,2022-12-20 09:29:10.154000,2022-12-20 09:29:10.154000
275,SALE,136,,2022-12-20 09:49:09.898000,2022-12-20 09:49:09.898000
276,SALE,137,,2022-12-20 10:00:10.389000,2022-12-20 10:00:10.389000
277,PURCHASE,,140,2022-12-20 10:04:10.245000,2022-12-20 10:04:10.245000
278,SALE,138,,2022-12-20 11:03:10.484000,2022-12-20 11:03:10.484000
279,PURCHASE,,141,2022-12-20 12:28:10.506000,2022-12-20 12:28:10.506000
280,SALE,139,,2022-12-20 13:00:09.953000,2022-12-20 13:00:09.953000
281,PURCHASE,,142,2022-12-20 13:16:10.189000,2022-12-20 13:16:10.189000
282,PURCHASE,,143,2022-12-20 14:12:10.244000,2022-12-20 14:12:10.244000
283,SALE,140,,2022-12-20 14:21:10.130000,2022-12-20 14:21:10.130000
284,SALE,141,,2022-12-20 14:32:10.475000,2022-12-20 14:32:10.475000
285,PURCHASE,,144,2022-12-20 14:38:10.150000,2022-12-20 14:38:10.150000
286,SALE,142,,2022-12-20 15:54:10.213000,2022-12-20 15:54:10.213000
287,PURCHASE,,145,2022-12-20 17:37:10.401000,2022-12-20 17:37:10.401000
288,SALE,143,,2022-12-20 18:01:09.960000,2022-12-20 18:01:09.960000
289,SALE,144,,2022-12-20 18:24:10.375000,2022-12-20 18:24:10.375000
290,SALE,145,,2022-12-20 18:31:09.920000,2022-12-20 18:31:09.920000
291,SALE,146,,2022-12-21 08:28:09.977000,2022-12-21 08:28:09.977000
292,PURCHASE,,146,2022-12-21 09:14:10.165000,2022-12-21 09:14:10.165000
293,SALE,147,,2022-12-21 09:31:10.243000,2022-12-21 09:31:10.243000
294,PURCHASE,,147,2022-12-21 09:35:10.114000,2022-12-21 09:35:10.114000
295,SALE,148,,2022-12-21 09:40:10.283000,2022-12-21 09:40:10.283000
296,PURCHASE,,148,2022-12-21 10:28:10.462000,2022-12-21 10:28:10.462000
297,PURCHASE,,149,2022-12-21 11:07:10.047000,2022-12-21 11:07:10.047000
298,SALE,149,,2022-12-21 13:04:10.487000,2022-12-21 13:04:10.487000
299,SALE,150,,2022-12-21 14:08:09.851000,2022-12-21 14:08:09.851000
300,PURCHASE,,150,2022-12-21 14:45:10.307000,2022-12-21 14:45:10.307000
301,SALE,151,,2022-12-21 15:08:09.979000,2022-12-21 15:08:09.979000
302,SALE,152,,2022-12-21 16:08:10.029000,2022-12-21 16:08:10.029000
303,PURCHASE,,151,2022-12-21 16:37:09.839000,2022-12-21 16:37:09.839000
304,SALE,153,,2022-12-21 17:13:09.803000,2022-12-21 17:13:09.803000
305,SALE,154,,2022-12-21 17:22:10.490000,2022-12-21 17:22:10.490000
306,SALE,155,,2022-12-21 18:28:10.064000,2022-12-21 18:28:10.064000
307,SALE,156,,2022-12-21 18:49:10.231000,2022-12-21 18:49:10.231000
308,SALE,157,,2022-12-22 08:00:12.774000,2022-12-22 08:00:12.774000
309,PURCHASE,,152,2022-12-22 08:01:10.180000,2022-12-22 08:01:10.180000
310,PURCHASE,,153,2022-12-22 08:08:09.915000,2022-12-22 08:08:09.915000
311,PURCHASE,,154,2022-12-22 08:42:10.292000,2022-12-22 08:42:10.292000
312,SALE,158,,2022-12-22 08:44:09.948000,2022-12-22 08:44:09.948000
313,PURCHASE,,155,2022-12-22 09:02:10.237000,2022-12-22 09:02:10.237000
314,SALE,159,,2022-12-22 09:43:10.076000,2022-12-22 09:43:10.076000
315,PURCHASE,,156,2022-12-22 10:14:10.143000,2022-12-22 10:14:10.143000
316,PURCHASE,,157,2022-12-22 10:55:10.453000,2022-12-22 10:55:10.453000
317,SALE,160,,2022-12-22 11:37:10.167000,2022-12-22 11:37:10.167000
318,PURCHASE,,158,2022-12-22 11:58:10.097000,2022-12-22 11:58:10.097000
319,PURCHASE,,159,2022-12-22 12:19:09.742000,2022-12-22 12:19:09.742000
320,SALE,161,,2022-12-22 12:46:09.957000,2022-12-22 12:46:09.957000
321,SALE,162,,2022-12-22 12:47:10.104000,2022-12-22 12:47:10.104000
322,PURCHASE,,160,2022-12-22 13:01:10.297000,2022-12-22 13:01:10.297000
323,PURCHASE,,161,2022-12-22 13:03:10.188000,2022-12-22 13:03:10.188000
324,SALE,163,,2022-12-22 13:51:09.924000,2022-12-22 13:51:09.924000
325,PURCHASE,,162,2022-12-22 14:08:09.981000,2022-12-22 14:08:09.981000
326,PURCHASE,,163,2022-12-22 14:36:10.439000,2022-12-22 14:36:10.439000
327,PURCHASE,,164,2022-12-22 14:49:10.293000,2022-12-22 14:49:10.293000
