purchase_order_id,created_at,last_updated,staff_id,counterparty_id,item_code,item_quantity,item_unit_price,currency_id,agreed_delivery_date,agreed_payment_date,agreed_delivery_location_id
128,2022-12-16 15:21:09.951000,2022-12-16 15:21:09.951000,3,7,LF26C6K,533,803.24,2,2022-12-19,2022-12-16,8
129,2022-12-16 17:53:10.169000,2022-12-16 17:53:10.169000,15,4,HTWKUE9,87,577.72,3,2022-12-21,2022-12-18,26
130,2022-12-19 10:12:10.307000,2022-12-19 10:12:10.307000,19,5,GIPANY0,194,274.81,3,2022-12-20,2022-12-20,25
70,2022-12-02 11:25:09.933000,2022-12-02 11:25:09.933000,7,20,QZ2HVCZ,677,240.75,3,2022-12-08,2022-12-02,29
131,2022-12-19 12:42:10.352000,2022-12-19 12:42:10.352000,15,11,34A3HX5,778,45.12,3,2022-12-25,2022-12-25,22
133,2022-12-19 14:25:10.022000,2022-12-19 14:25:10.022000,5,9,Q5X056K,971,473.32,2,2022-12-22,2022-12-25,14
134,2022-12-19 14:37:09.708000,2022-12-19 14:37:09.708000,11,2,C9Z24FU,558,494.56,3,2022-12-20,2022-12-19,6
135,2022-12-19 14:53:10.202000,2022-12-19 14:53:10.202000,16,8,FMLAFUA,232,121.78,2,2022-12-24,2022-12-22,3
136,2022-12-19 18:28:10.184000,2022-12-19 18:28:10.184000,18,13,2O48I0H,35,307.85,3,2022-12-26,2022-12-23,15
137,2022-12-19 18:55:10.428000,2022-12-19 18:55:10.428000,18,15,SS01OPB,425,124.55,2,2022-12-24,2022-12-21,16
138,2022-12-20 08:26:10.196000,2022-12-20 08:26:10.196000,11,20,GHSIKTT,139,745.51,2,2022-12-21,2022-12-25,16
119,2022-12-15 11:36:10.169000,2022-12-15 11:36:10.169000,5,3,1FLZZ99,485,603.65,2,2022-12-27,2022-12-15,23
139,2022-12-20 09:23:10.417000,2022-12-20 09:23:10.417000,3,5,OYKTS36,730,201.81,2,2022-12-26,2022-12-21,2
103,2022-12-13 17:29:10.259000,2022-12-13 17:29:10.259000,13,4,BPZSOA4,109,861.02,2,2023-01-09,2022-12-18,8
140,2022-12-20 10:04:10.245000,2022-12-20 10:04:10.245000,7,20,OQQAFJ9,270,194.45,2,2022-12-23,2022-12-21,18
141,2022-12-20 12:28:10.506000,2022-12-20 12:28:10.506000,10,12,WXMGK3C,288,676.43,3,2022-12-23,2022-12-21,30
142,2022-12-20 13:16:10.189000,2022-12-20 13:16:10.189000,20,18,QC0Y8FE,183,567.67,3,2022-12-27,2022-12-21,8
143,2022-12-20 14:12:10.244000,2022-12-20 14:12:10.244000,2,19,PXE5IK2,107,760.76,2,2022-12-26,2022-12-21,16
144,2022-12-20 14:38:10.150000,2022-12-20 14:38:10.150000,2,3,YDSD70A,103,770.89,3,2022-12-24,2022-12-25,5
145,2022-12-20 17:37:10.401000,2022-12-20 17:37:10.401000,8,15,LLKWIMN,426,948.80,2,2022-12-25,2022-12-22,26
146,2022-12-21 09:14:10.165000,2022-12-21 09:14:10.165000,20,18,DXTKLTH,95,750.72,2,2022-12-27,2022-12-25,15
147,2022-12-21 09:35:10.114000,2022-12-21 09:35:10.114000,18,17,6NKBVTN,684,943.55,3,2022-12-22,2022-12-23,16
148,2022-12-21 10:28:10.462000,2022-12-21 10:28:10.462000,20,3,1RDHKBB,711,933.22,3,2022-12-21,2022-12-26,13
149,2022-12-21 11:07:10.047000,2022-12-21 11:07:10.047000,12,14,ZCAFMI7,336,543.06,3,2022-12-22,2022-12-22,13
108,2022-12-14 08:28:10.679000,2022-12-14 08:28:10.679000,19,5,25POQ2A,758,994.73,2,2022-12-25,2022-12-14,7
151,2022-12-21 16:37:09.839000,2022-12-21 16:37:09.839000,6,17,10M8P9R,799,367.57,3,2022-12-25,2022-12-23,29
152,2022-12-22 08:01:10.180000,2022-12-22 08:01:10.180000,18,12,W2A96E2,755,724.16,3,2022-12-23,2022-12-26,29
153,2022-12-22 08:08:09.915000,2022-12-22 08:08:09.915000,7,2,CR0VX96,665,559.36,2,2022-12-26,2022-12-26,8
154,2022-12-22 08:42:10.292000,2022-12-22 08:42:10.292000,17,19,TL5BRYY,737,248.52,2,2022-12-26,2022-12-27,20
155,2022-12-22 09:02:10.237000,2022-12-22 09:02:10.237000,11,8,TYF7MRZ,692,327.00,3,2022-12-25,2022-12-24,21
156,2022-12-22 10:14:10.143000,2022-12-22 10:14:10.143000,11,6,3Z5LD5I,615,492.43,2,2022-12-27,2022-12-26,18
157,2022-12-22 10:55:10.453000,2022-12-22 10:55:10.453000,17,20,DI6WQ3P,722,632.95,2,2022-12-28,2022-12-23,8
158,2022-12-22 11:58:10.097000,2022-12-22 11:58:10.097000,9,5,PDO3YJR,258,916.17,2,2022-12-26,2022-12-25,4
159,2022-12-22 12:19:09.742000,2022-12-22 12:19:09.742000,6,15,RZLMR24,846,282.74,2,2022-12-22,2022-12-28,15
160,2022-12-22 13:01:10.297000,2022-12-22 13:01:10.297000,15,9,0Z9GF0O,250,297.84,2,2022-12-27,2022-12-26,24
161,2022-12-22 13:03:10.188000,2022-12-22 13:03:10.188000,18,6,5BHIPH0,12,248.68,3,2022-12-27,2022-12-22,9
162,2022-12-22 14:08:09.981000,2022-12-22 14:08:09.981000,18,19,ZTN5UL9,438,783.35,2,2022-12-23,2022-12-26,7
163,2022-12-22 14:36:10.439000,2022-12-22 14:36:10.439000,11,5,KTYAAB3,71,207.37,3,2022-12-27,2022-12-22,5
164,2022-12-22 14:49:10.293000,2022-12-22 14:49:10.293000,9,13,UYK2A0U,635,536.97,3,2022-12-26,2022-12-23,21
165,2022-12-22 15:03:10.229000,2022-12-22 15:03:10.229000,10,16,RQD9D70,867,836.77,2,2022-12-24,2022-12-23,29
166,2022-12-22 17:13:10.373000,2022-12-22 17:13:10.373000,18,7,3SA63QH,943,240.73,2,2022-12-24,2022-12-27,14
167,2022-12-22 17:42:10.730000,2022-12-22 17:42:10.730000,13,3,2HO9XU9,140,78.82,2,2022-12-28,2022-12-24,4
168,2022-12-22 18:29:10.922000,2022-12-22 18:29:10.922000,12,7,BFEL7F6,708,9.79,3,2022-12-26,2022-12-26,6
169,2022-12-22 18:39:09.895000,2022-12-22 18:39:09.895000,4,6,YEGVJHM,353,172.20,2,2022-12-25,2022-12-28,2
170,2022-12-23 08:36:10.594000,2022-12-23 08:36:10.594000,17,13,TQS7YE8,998,527.97,3,2022-12-24,2022-12-25,14
171,2022-12-23 10:05:09.988000,2022-12-23 10:05:09.988000,18,13,AKVK51K,366,970.89,3,2022-12-24,2022-12-24,24
173,2022-12-23 11:41:09.865000,2022-12-23 11:41:09.865000,16,18,9XGR8NI,515,699.40,2,2022-12-26,2022-12-26,23
174,2022-12-23 11:43:10.304000,2022-12-23 11:43:10.304000,7,18,BQIVW95,319,177.74,3,2022-12-26,2022-12-25,18
175,2022-12-23 12:03:09.930000,2022-12-23 12:03:09.930000,12,9,O8017Y2,910,504.20,2,2022-12-30,2022-12-23,29
176,2022-12-23 13:34:10.189000,2022-12-23 13:34:10.189000,7,15,1L2Y2J6,565,796.22,2,2022-12-25,2022-12-28,27
177,2022-12-23 13:56:09.786000,2022-12-23 13:56:09.786000,17,16,KBPQTUB,625,910.36,2,2022-12-30,2022-12-26,9
178,2022-12-26 12:36:09.870000,2022-12-26 12:36:09.870000,3,8,MQ8W1KP,837,13.95,2,2022-12-26,2022-12-27,6
179,2022-12-26 12:42:10.758000,2022-12-26 12:42:10.758000,11,4,HYYJLWH,49,992.64,3,2022-12-31,2022-12-28,24
180,2022-12-26 13:14:10.293000,2022-12-26 13:14:10.293000,16,19,BFHZ92G,374,52.11,3,2023-01-02,2022-12-29,3
181,2022-12-26 17:55:10.414000,2022-12-26 17:55:10.414000,8,19,4GT5QMV,798,712.73,3,2022-12-27,2022-12-30,16
182,2022-12-26 18:36:10.260000,2022-12-26 18:36:10.260000,20,14,1SECZLJ,249,789.17,2,2023-01-02,2022-12-27,15
183,2022-12-26 18:54:10.601000,2022-12-26 18:54:10.601000,3,17,F5KH2FO,715,108.21,3,2022-12-27,2022-12-27,12
184,2022-12-27 08:07:10.181000,2022-12-27 08:07:10.181000,6,13,7FZZIK6,219,171.42,3,2023-01-01,2023-01-01,4
185,2022-12-27 11:15:10.232000,2022-12-27 11:15:10.232000,13,6,56ZRCHT,574,776.38,2,2023-01-03,2022-12-28,18
186,2022-12-27 13:28:10.345000,2022-12-27 13:28:10.345000,15,12,S14KH0Z,163,951.79,3,2022-12-28,2022-12-31,21
187,2022-12-27 16:25:10.386000,2022-12-27 16:25:10.386000,7,10,BXH1KEM,173,100.30,2,2022-12-29,2022-12-31,10
188,2022-12-27 16:39:09.855000,2022-12-27 16:39:09.855000,2,13,UUF3IAF,998,930.64,3,2022-12-30,2022-12-31,30
189,2022-12-28 08:30:10.396000,2022-12-28 08:30:10.396000,6,7,ZCVH56P,574,884.74,3,2023-01-03,2023-01-02,22
190,2022-12-28 08:38:10.153000,2022-12-28 08:38:10.153000,19,2,FNMOBDA,54,287.96,2,2023-01-03,2022-12-30,26
191,2022-12-28 09:39:10.030000,2022-12-28 09:39:10.030000,5,2,6EIZ8I3,315,960.52,2,2023-01-04,2023-01-02,19
192,2022-12-28 12:11:10.119000,2022-12-28 12:11:10.119000,13,4,6Q1AUL9,81,379.65,3,2022-12-29,2023-01-01,20
193,2022-12-28 17:10:10.665000,2022-12-28 17:10:10.665000,7,3,9Q0E5V0,901,153.88,2,2023-01-03,2023-01-03,2
194,2022-12-28 17:13:10.391000,2022-12-28 17:13:10.391000,19,18,OVAK2UI,501,725.93,2,2022-12-31,2023-01-02,8
195,2022-12-28 18:10:10.323000,2022-12-28 18:10:10.323000,17,12,J3RG77W,870,847.97,3,2023-01-01,2023-01-02,27
196,2022-12-28 18:14:09.878000,2022-12-28 18:14:09.878000,14,15,CAABSD8,71,585.48,3,2022-12-28,2023-01-01,24
197,2022-12-28 18:38:10.180000,2022-12-28 18:38:10.180000,4,15,GWU0PP2,750,257.44,3,2023-01-03,2023-01-02,17
198,2022-12-29 08:27:10.377000,2022-12-29 08:27:10.377000,19,17,JDDKRB3,310,793.09,3,2023-01-04,2023-01-03,4
199,2022-12-29 10:36:10.309000,2022-12-29 10:36:10.309000,19,14,38H26ON,809,42.87,3,2022-12-30,2023-01-01,13
200,2022-12-29 11:46:10.136000,2022-12-29 11:46:10.136000,6,17,D5EDUDK,925,147.28,3,2023-01-01,2022-12-30,28
